Company,Date,Title,Abstract
Caterpillar,"March 27, 2007",Venture Capitalists Return to Backing Science Start-Ups,"A $28 flat-bed truck and bulldozer gets you a 100,000-point head start on a video game."
Caterpillar,"March 27, 2007","Daily Report: For Google and Others, Devices Made in the U.S.A.","A $28 flat-bed truck and bulldozer gets you a 100,000-point head start on a video game."
Caterpillar,"March 27, 2007",Web Retailers Get Into Employee Gifts,"A $28 flat-bed truck and bulldozer gets you a 100,000-point head start on a video game."
Caterpillar,"March 27, 2007",News Corp. and NBC in Web Deal,"A $28 flat-bed truck and bulldozer gets you a 100,000-point head start on a video game."
Chevron,"Aug. 26, 2016","John Ellenby, Visionary Who Helped Create Early Laptop, Dies at 75","Mr. Ellenby founded Grid Systems, where the Compass was produced. It went on to become a tool for big corporations, government spies, White House officials and astronauts."
Chevron,"Aug. 26, 2016",This Just In From 2030: Looming War Restricts Access to Oil,"Mr. Ellenby founded Grid Systems, where the Compass was produced. It went on to become a tool for big corporations, government spies, White House officials and astronauts."
Chevron,"Aug. 26, 2016",What Stand-Alone GPS Devices Do That Smartphones Can't,"Mr. Ellenby founded Grid Systems, where the Compass was produced. It went on to become a tool for big corporations, government spies, White House officials and astronauts."
Chevron,"Aug. 26, 2016","Shareholders get poorer, bankers richer on record M&A; activity","Mr. Ellenby founded Grid Systems, where the Compass was produced. It went on to become a tool for big corporations, government spies, White House officials and astronauts."
Chevron,"Aug. 26, 2016",Microsoft Says New Windows Is on Schedule,"Mr. Ellenby founded Grid Systems, where the Compass was produced. It went on to become a tool for big corporations, government spies, White House officials and astronauts."
Chevron,"Aug. 26, 2016","Stanford R. Ovshinsky Dies at 89, a Self-Taught Maverick in Electronics","Mr. Ellenby founded Grid Systems, where the Compass was produced. It went on to become a tool for big corporations, government spies, White House officials and astronauts."
Chevron,"Aug. 26, 2016",China law could impede Microsoft deal for Yahoo,"Mr. Ellenby founded Grid Systems, where the Compass was produced. It went on to become a tool for big corporations, government spies, White House officials and astronauts."
Chevron,"Aug. 26, 2016",China may pose hurdle to Microsoft's bid for Yahoo,"Mr. Ellenby founded Grid Systems, where the Compass was produced. It went on to become a tool for big corporations, government spies, White House officials and astronauts."
Chevron,"Aug. 26, 2016",Recession Wipes Out Hardware Upstarts,"Mr. Ellenby founded Grid Systems, where the Compass was produced. It went on to become a tool for big corporations, government spies, White House officials and astronauts."
Chevron,"Aug. 26, 2016",China Law Could Impede Microsoft Deal for Yahoo,"Mr. Ellenby founded Grid Systems, where the Compass was produced. It went on to become a tool for big corporations, government spies, White House officials and astronauts."
Cisco Systems,"Dec. 30, 2016",Join Our Board: Companies Hotly Pursue New Wave of Women in Tech,"Even in Silicon Valley, where talent wars are legion, courting female executives to join tech company boards is particularly cutthroat."
Cisco Systems,"Dec. 30, 2016","Daily Report: Intel and Cisco, Shifting With the Times","Even in Silicon Valley, where talent wars are legion, courting female executives to join tech company boards is particularly cutthroat."
Cisco Systems,"Dec. 30, 2016","Cisco Systems Income Falls, but Quarterly Revenue Sets Record as Pressures Mount","Even in Silicon Valley, where talent wars are legion, courting female executives to join tech company boards is particularly cutthroat."
Cisco Systems,"Dec. 30, 2016",Apple and Cisco Team Up on iPhone and iPad Sales,"Even in Silicon Valley, where talent wars are legion, courting female executives to join tech company boards is particularly cutthroat."
Cisco Systems,"Dec. 30, 2016",Daily Report: What Tech Happens in China Stays in China,"Even in Silicon Valley, where talent wars are legion, courting female executives to join tech company boards is particularly cutthroat."
Cisco Systems,"Dec. 30, 2016",Cisco Systems Slightly Tops Expectations,"Even in Silicon Valley, where talent wars are legion, courting female executives to join tech company boards is particularly cutthroat."
Cisco Systems,"Dec. 30, 2016",Cisco Systems slightly tops expectations,"Even in Silicon Valley, where talent wars are legion, courting female executives to join tech company boards is particularly cutthroat."
Cisco Systems,"Dec. 30, 2016",2 Cisco Presidents Will Leave in a Restructuring,"Even in Silicon Valley, where talent wars are legion, courting female executives to join tech company boards is particularly cutthroat."
Cisco Systems,"Dec. 30, 2016",Cisco Systems Plans to Expand in China,"Even in Silicon Valley, where talent wars are legion, courting female executives to join tech company boards is particularly cutthroat."
Cisco Systems,"Dec. 30, 2016","With Profits Slipping, Cisco Plans to Cut Jobs","Even in Silicon Valley, where talent wars are legion, courting female executives to join tech company boards is particularly cutthroat."
Coca-Cola,"Nov. 30, 2012",Study May Offer Insight Into Coca-Cola Breach,A 2010 case study of a security breach at an unnamed Fortune 500 company appears to offers new details of a breach at Coca-Cola.
Coca-Cola,"Nov. 30, 2012","Today's Scuttlebot: Coca-Cola Hacking, and Class Photos",A 2010 case study of a security breach at an unnamed Fortune 500 company appears to offers new details of a breach at Coca-Cola.
Coca-Cola,"Nov. 30, 2012",Why Rovio Looks to Coca-Cola For Inspiration,A 2010 case study of a security breach at an unnamed Fortune 500 company appears to offers new details of a breach at Coca-Cola.
Coca-Cola,"Nov. 30, 2012",Twitter Experiences Worldwide Disruptions,A 2010 case study of a security breach at an unnamed Fortune 500 company appears to offers new details of a breach at Coca-Cola.
Coca-Cola,"Nov. 30, 2012","In China, a Rapid Jump to Mobile Advertising",A 2010 case study of a security breach at an unnamed Fortune 500 company appears to offers new details of a breach at Coca-Cola.
Coca-Cola,"Nov. 30, 2012",Promoting a Thirst for Sprite in Teenage Cellphone Users,A 2010 case study of a security breach at an unnamed Fortune 500 company appears to offers new details of a breach at Coca-Cola.
Coca-Cola,"Nov. 30, 2012",Waning days of an Indian soda pop,A 2010 case study of a security breach at an unnamed Fortune 500 company appears to offers new details of a breach at Coca-Cola.
Coca-Cola,"Nov. 30, 2012","Code Promotions, a Madison Ave. Staple, Are Going Online",A 2010 case study of a security breach at an unnamed Fortune 500 company appears to offers new details of a breach at Coca-Cola.
Coca-Cola,"Nov. 30, 2012",Coke promoting a MySpace for cellphones,A 2010 case study of a security breach at an unnamed Fortune 500 company appears to offers new details of a breach at Coca-Cola.
Coca-Cola,"Nov. 30, 2012","Airbnb Vows to Fight Racism, but Its Users Can't Sue to Prompt Fairness",A 2010 case study of a security breach at an unnamed Fortune 500 company appears to offers new details of a breach at Coca-Cola.
Dow Inc.,"Jan. 24, 2016",Looking for Signs That Apple's Runaway Growth Is Waning,"With iPhone sales projected to decelerate, investors will be scouring Apple's earnings report on Tuesday for signs of how fast the company's downshift is happening."
Dow Inc.,"Jan. 24, 2016",Former Executive of CA Inc. Will Pay Restitution,"With iPhone sales projected to decelerate, investors will be scouring Apple's earnings report on Tuesday for signs of how fast the company's downshift is happening."
Dow Inc.,"Jan. 24, 2016",Microsoft Buys Online Concern,"With iPhone sales projected to decelerate, investors will be scouring Apple's earnings report on Tuesday for signs of how fast the company's downshift is happening."
Dow Inc.,"Jan. 24, 2016",Restitution Deal Made,"With iPhone sales projected to decelerate, investors will be scouring Apple's earnings report on Tuesday for signs of how fast the company's downshift is happening."
Dow Inc.,"Jan. 24, 2016",Dell Weighs Alternatives to Its Link With CIT,"With iPhone sales projected to decelerate, investors will be scouring Apple's earnings report on Tuesday for signs of how fast the company's downshift is happening."
Dow Inc.,"Jan. 24, 2016",Google in Content Deal With Media Companies,"With iPhone sales projected to decelerate, investors will be scouring Apple's earnings report on Tuesday for signs of how fast the company's downshift is happening."
Dow Inc.,"Jan. 24, 2016",Europe Revives Qualcomm Antitrust Inquiry,"With iPhone sales projected to decelerate, investors will be scouring Apple's earnings report on Tuesday for signs of how fast the company's downshift is happening."
Dow Inc.,"Jan. 24, 2016",Yahoo Extends Nomination Time,"With iPhone sales projected to decelerate, investors will be scouring Apple's earnings report on Tuesday for signs of how fast the company's downshift is happening."
Dow Inc.,"Jan. 24, 2016",6-Month Home Detention for Executive,"With iPhone sales projected to decelerate, investors will be scouring Apple's earnings report on Tuesday for signs of how fast the company's downshift is happening."
Dow Inc.,"Jan. 24, 2016",Scrutiny of Security Start-Ups May Signal Shift in Venture Funding,"With iPhone sales projected to decelerate, investors will be scouring Apple's earnings report on Tuesday for signs of how fast the company's downshift is happening."
Goldman Sachs,"Oct. 13, 2016",Daily Report: The Aura of Snapchat,"The ephemeral-message company is flourishing, and early investors would stand to make a lot of money on an I.P.O."
Goldman Sachs,"Oct. 13, 2016",10-Second Videos From Your Sunglasses. Thank Snapchat.,"The ephemeral-message company is flourishing, and early investors would stand to make a lot of money on an I.P.O."
Goldman Sachs,"Oct. 13, 2016",Programmer Indicted in Theft of Goldman Software,"The ephemeral-message company is flourishing, and early investors would stand to make a lot of money on an I.P.O."
Goldman Sachs,"Oct. 13, 2016",Plea in Case of Stolen Code From Goldman,"The ephemeral-message company is flourishing, and early investors would stand to make a lot of money on an I.P.O."
Goldman Sachs,"Oct. 13, 2016",Cloud Services Show Their Value in Earnings Reports,"The ephemeral-message company is flourishing, and early investors would stand to make a lot of money on an I.P.O."
Goldman Sachs,"Oct. 13, 2016",The No-Good Week in Tech's (Hopeful) Trip to a Bright Future,"The ephemeral-message company is flourishing, and early investors would stand to make a lot of money on an I.P.O."
Goldman Sachs,"Oct. 13, 2016","If Jack Dorsey Has a Problem Child Among His 2 Companies, It Isn't Square","The ephemeral-message company is flourishing, and early investors would stand to make a lot of money on an I.P.O."
Goldman Sachs,"Oct. 13, 2016",Motorola Said to Explore Dividing Into 3 Companies,"The ephemeral-message company is flourishing, and early investors would stand to make a lot of money on an I.P.O."
Goldman Sachs,"Oct. 13, 2016",Uber Turns to Saudi Arabia for $3.5 Billion Cash Infusion,"The ephemeral-message company is flourishing, and early investors would stand to make a lot of money on an I.P.O."
Goldman Sachs,"Oct. 13, 2016",Start-Ups Once Showered With Cash Now Have to Work for It,"The ephemeral-message company is flourishing, and early investors would stand to make a lot of money on an I.P.O."
The Home Depot,"Sept. 19, 2014",Ex-Employees Say Home Depot Left Data Vulnerable,"Before a major data breach, Home Depot was slow to raise its defenses against hackers despite alarms from security experts as far back as 2008."
The Home Depot,"Sept. 19, 2014",Home Depot Investigates a Possible Credit Card Breach,"Before a major data breach, Home Depot was slow to raise its defenses against hackers despite alarms from security experts as far back as 2008."
The Home Depot,"Sept. 19, 2014",Path of Stolen Credit Cards Leads Back to Home Depot Stores,"Before a major data breach, Home Depot was slow to raise its defenses against hackers despite alarms from security experts as far back as 2008."
The Home Depot,"Sept. 19, 2014",9 Recent Cyberattacks Against Big Businesses,"Before a major data breach, Home Depot was slow to raise its defenses against hackers despite alarms from security experts as far back as 2008."
The Home Depot,"Sept. 19, 2014",Quirky to Create a Smart-Home Products Company,"Before a major data breach, Home Depot was slow to raise its defenses against hackers despite alarms from security experts as far back as 2008."
The Home Depot,"Sept. 19, 2014",Think Amazon's Drone Delivery Idea Is a Gimmick? Think Again,"Before a major data breach, Home Depot was slow to raise its defenses against hackers despite alarms from security experts as far back as 2008."
The Home Depot,"Sept. 19, 2014","Before Tearing Out a Wall, Check Your Phone","Before a major data breach, Home Depot was slow to raise its defenses against hackers despite alarms from security experts as far back as 2008."
The Home Depot,"Sept. 19, 2014",An LED Bulb Is Both Dimmable and Affordable,"Before a major data breach, Home Depot was slow to raise its defenses against hackers despite alarms from security experts as far back as 2008."
The Home Depot,"Sept. 19, 2014",Home Depot Data Breach Could Be the Largest Yet,"Before a major data breach, Home Depot was slow to raise its defenses against hackers despite alarms from security experts as far back as 2008."
The Home Depot,"Sept. 19, 2014",Home Depot Says Hackers Also Stole Email Addresses,"Before a major data breach, Home Depot was slow to raise its defenses against hackers despite alarms from security experts as far back as 2008."
Honeywell,"July 27, 2009",Honeywell Posts 38% Drop in Earnings,"The manufacturer's customers in the automobile and airline industries cut back on purchases, cutting its revenue."
Honeywell,"July 27, 2009","Alexa, What Else Can You Do? Getting More From Amazon Echo","The manufacturer's customers in the automobile and airline industries cut back on purchases, cutting its revenue."
Honeywell,"July 27, 2009",Google Home vs. Amazon Echo: A Face-Off of Smart Speakers,"The manufacturer's customers in the automobile and airline industries cut back on purchases, cutting its revenue."
Honeywell,"July 27, 2009",Subscribe and Save on Amazon? Don't Count on It,"The manufacturer's customers in the automobile and airline industries cut back on purchases, cutting its revenue."
Honeywell,"July 27, 2009",Computing in the Kitchen,"The manufacturer's customers in the automobile and airline industries cut back on purchases, cutting its revenue."
Honeywell,"July 27, 2009","Tony Fadell Steps Down Amid Tumult at Nest, a Google Acquisition","The manufacturer's customers in the automobile and airline industries cut back on purchases, cutting its revenue."
Honeywell,"July 27, 2009",Touch Screens Are Tested for Piloting Passenger Jets,"The manufacturer's customers in the automobile and airline industries cut back on purchases, cutting its revenue."
Honeywell,"July 27, 2009",Apple's Former Patent Chief Joins Nest Labs,"The manufacturer's customers in the automobile and airline industries cut back on purchases, cutting its revenue."
Honeywell,"July 27, 2009",Oracle Says Rival Stole Its Software,"The manufacturer's customers in the automobile and airline industries cut back on purchases, cutting its revenue."
Honeywell,"July 27, 2009","While in the Kitchen, Stir the Stew and Surf the Web","The manufacturer's customers in the automobile and airline industries cut back on purchases, cutting its revenue."
IBM,"April 18, 2016",IBM Results Show Progress in Cloud and Data Analysis,"The company reported a 21 percent decline in first-quarter earnings for the first quarter, though operating earnings per share were above estimates."
IBM,"April 18, 2016","IBM Is Counting on Its Bet on Watson, and Paying Big Money for It","The company reported a 21 percent decline in first-quarter earnings for the first quarter, though operating earnings per share were above estimates."
IBM,"April 18, 2016","Erich Bloch, Who Helped Develop IBM Mainframe, Dies at 91","The company reported a 21 percent decline in first-quarter earnings for the first quarter, though operating earnings per share were above estimates."
IBM,"April 18, 2016",IBM Reports Declines in Fourth-Quarter Profit and Revenue Despite Gains in New Fields,"The company reported a 21 percent decline in first-quarter earnings for the first quarter, though operating earnings per share were above estimates."
IBM,"April 18, 2016",IBM Wants Everyone to Try a Quantum Computer,"The company reported a 21 percent decline in first-quarter earnings for the first quarter, though operating earnings per share were above estimates."
IBM,"April 18, 2016","IBM Buys Truven for $2.6 Billion, Adding to Trove of Patient Data","The company reported a 21 percent decline in first-quarter earnings for the first quarter, though operating earnings per share were above estimates."
IBM,"April 18, 2016","""Watson Finalist A""","The company reported a 21 percent decline in first-quarter earnings for the first quarter, though operating earnings per share were above estimates."
IBM,"April 18, 2016",The Promise of Artificial Intelligence Unfolds in Small Steps,"The company reported a 21 percent decline in first-quarter earnings for the first quarter, though operating earnings per share were above estimates."
IBM,"April 18, 2016",Creating a Computer Voice That People Like,"The company reported a 21 percent decline in first-quarter earnings for the first quarter, though operating earnings per share were above estimates."
IBM,"April 18, 2016","The Race Is On to Control Artificial Intelligence, and Tech's Future","The company reported a 21 percent decline in first-quarter earnings for the first quarter, though operating earnings per share were above estimates."
Intel,"Jan. 14, 2016","Intel's Earnings Fall in Fourth Quarter, but Beat Expectations","The chip maker's revenue was up slightly from the same time period last year, but money from data center chips was up markedly."
Intel,"Jan. 14, 2016","Daily Report: Intel and Cisco, Shifting With the Times","The chip maker's revenue was up slightly from the same time period last year, but money from data center chips was up markedly."
Intel,"Jan. 14, 2016","Intel to Cut 12,000 Jobs as PC Demand Plummets","The chip maker's revenue was up slightly from the same time period last year, but money from data center chips was up markedly."
Intel,"Jan. 14, 2016",Intel's New Mission: Find Fresh Uses for Its Famous Paranoia,"The chip maker's revenue was up slightly from the same time period last year, but money from data center chips was up markedly."
Intel,"Jan. 14, 2016",Andrew S. Grove Dies at 79; Intel Chief Spurred Semiconductor Revolution,"The chip maker's revenue was up slightly from the same time period last year, but money from data center chips was up markedly."
Intel,"Jan. 14, 2016",Regeneron Pharmaceuticals to Sponsor Science Talent Search,"The chip maker's revenue was up slightly from the same time period last year, but money from data center chips was up markedly."
Intel,"Jan. 14, 2016",Moore's Law Loses Some True Believers,"The chip maker's revenue was up slightly from the same time period last year, but money from data center chips was up markedly."
Intel,"Jan. 14, 2016","Moore's Law Running Out of Room, Tech Looks for a Successor","The chip maker's revenue was up slightly from the same time period last year, but money from data center chips was up markedly."
Intel,"Jan. 14, 2016",Intel to End Sponsorship of Science Talent Search,"The chip maker's revenue was up slightly from the same time period last year, but money from data center chips was up markedly."
Intel,"Jan. 14, 2016","Intel Earnings Surpass Forecasts, Driven by Data Centers","The chip maker's revenue was up slightly from the same time period last year, but money from data center chips was up markedly."
Johnson & Johnson,"Nov. 2, 2016",Put Your Phone to Work Doing Some Good,"You can support a variety of causes through donation apps, and some are set up to draw the funds from a corporate sponsor, not out of your pocket."
Johnson & Johnson,"Nov. 2, 2016","To Compete Better, States Are Trying to Curb Noncompete Pacts","You can support a variety of causes through donation apps, and some are set up to draw the funds from a corporate sponsor, not out of your pocket."
Johnson & Johnson,"Nov. 2, 2016",Google and Johnson & Johnson Team for Robotic Surgery Projects,"You can support a variety of causes through donation apps, and some are set up to draw the funds from a corporate sponsor, not out of your pocket."
Johnson & Johnson,"Nov. 2, 2016",GoPro Goes Amateur,"You can support a variety of causes through donation apps, and some are set up to draw the funds from a corporate sponsor, not out of your pocket."
Johnson & Johnson,"Nov. 2, 2016",Peter Thiel's Embrace of Trump Has Silicon Valley Squirming,"You can support a variety of causes through donation apps, and some are set up to draw the funds from a corporate sponsor, not out of your pocket."
Johnson & Johnson,"Nov. 2, 2016",Two Retail Veterans Take Aim at Amazon's E-Commerce Reign,"You can support a variety of causes through donation apps, and some are set up to draw the funds from a corporate sponsor, not out of your pocket."
Johnson & Johnson,"Nov. 2, 2016",Your Phone Can Help You Get Fit,"You can support a variety of causes through donation apps, and some are set up to draw the funds from a corporate sponsor, not out of your pocket."
Johnson & Johnson,"Nov. 2, 2016",Yahoo Says 1 Billion User Accounts Were Hacked,"You can support a variety of causes through donation apps, and some are set up to draw the funds from a corporate sponsor, not out of your pocket."
Johnson & Johnson,"Nov. 2, 2016","Twitter Appoints Debra Lee, Adding Diversity to Its Board","You can support a variety of causes through donation apps, and some are set up to draw the funds from a corporate sponsor, not out of your pocket."
Johnson & Johnson,"Nov. 2, 2016",Start-Ups Finding the Best Employees Are Actually Employed,"You can support a variety of causes through donation apps, and some are set up to draw the funds from a corporate sponsor, not out of your pocket."
