Company,Date,Title,Abstract,sentiment_abstract,sentiment_category_abstract
American Express,05/10/2012,nokia's new lumia is an at&t exclusive again,"nokia's new flagship smartphone, the lumia 920, will will be sold next month in the united states only in at&t stores. this story is familiar: last time, at&t was the only american carrier to support nokia's older flagship lumia, which didn't sell well. so why does at&t keep getting the goods?",0.669,Very Positive
American Express,07/06/2012,"rather than share your location, foursquare wants to suggest one","foursquare, a start-up whose app lets users share their locations, has seen its growth slow, and its founders hope that suggesting places to users could change that.",0.7717,Very Positive
American Express,13/02/2012,google deal for motorola mobility gets clearance,the justice department approval came hours after the european union imposed no conditions on the acquisition.,0.6124,Very Positive
American Express,04/12/2011,steering telecom italia with a steady hand,"franco bernabe, the chief executive, is giving the once trend-setting mobile operator something to cheer about as it starts to make inroads in new markets.",0.6908,Very Positive
American Express,20/07/2011,social media history becomes a new job hurdle,"a start-up helps companies dig into potential employees' activity online, from facebook posts to e-commerce usage.",0.3818,Positive
American Express,27/04/2011,india puts tight leash on internet free speech,new rules allow anyone to demand that web sites and service providers remove content considered objectionable.,0.1027,Neutral
American Express,02/12/2010,"legislators support internet privacy, but question how to achieve it",the federal trade commission says that so far it has seen no negative effect on advertising from stricter internet privacy.,-0.7096,Very Negative
American Express,15/07/2010,"at snopes.com, rumors are held up to the light","david pogue interviews david mikkelson of snopes.com, where internet veterans go to get the truth about online rumors.",0.3182,Neutral
American Express,16/02/2010,a conference keen on finding open communication,experts say the state of play for apps is a cacophony of incompatible software that threatens to slow the growth of the mobile internet.,0.34,Neutral
American Express,29/07/2009,advertisers welcome microsoft-yahoo search deal,advertising-industry leaders say they are happy to see a stronger alternative to google in the internet search market.,0.743,Very Positive
American Express,19/04/2009,italians look to small screen,several of italy's best-known directors have turned their lenses to making short movies for the internet.,0.0,Neutral
American Express,20/01/2009,credit card processor says some data was stolen,"heartland payment systems said the system it used to process visa, mastercard, american express and discover card transactions was breached last year.",0.0,Neutral
American Express,11/08/2008,global trail of an online crime ring,prosecutors say their own informant stole millions of credit card numbers in a case that reveals how the internet is enabling new crimes on a vast scale.,0.3818,Positive
Amgen,20/03/2010,would you pay $20 for access to a breast cancer cure?,"a canadian organization has started a biotech cooperative, financed by sales of $20 shares, to develop personalized therapies for breast cancer.",-0.4939,Negative
Amgen,16/09/2008,"in an unsettled market, a biotech company called fluidigm is about to go public","fluidigm's offering, which it hopes to make on thursday unless market conditions force it to withdraw, is underwritten by morgan stanley.",0.4215,Positive
Apple,30/12/2016,back up your itunes collection -- or your whole computer,"saving a copy of your itunes library can be as easy as dragging a folder to an external drive, but there are other ways to make sure you're backed up.",0.6187,Very Positive
Apple,28/12/2016,five resolutions to simplify your tech life,"follow these tips to improve the maintenance of your passwords, devices and tech infrastructure. also, shop smarter and reduce waste in 2017.",0.4767,Positive
Apple,14/12/2016,2016 in review: the year's best apps,"a news curator based on what friends are reading, an easy-to-access universe of npr audio, and an upgraded beer-tracking app are among our top picks.",0.5994,Very Positive
Apple,08/12/2016,"with linkedin, microsoft looks to avoid past acquisition busts",the technology giant has not had a great track record with the companies it acquires. the hope is that it has learned from its mistakes.,-0.4393,Negative
Apple,03/12/2016,farhad's and mike's week in tech: more debate over facebook's role in media,questions continue to swirl over facebook's handling of fake news stories and a tool it created that could potentially be used to censor content in china.,-0.6249,Very Negative
Apple,20/11/2016,"how apple empowers, and employs, the american working class","the tech giant probably won't bring all production to the united states, as donald trump has suggested, but it provides diverse opportunities for thousands of americans, along with a ladder to climb.",0.6486,Very Positive
Apple,07/11/2016,daily report: more fake retail apps means more users are at risk,"consumers may be deceived into entering their credit card numbers into counterfeit applications, often disguised as bona fide programs.",-0.34,Neutral
Apple,31/10/2016,daily report: google's day in europe's court highlights nature of new tech,the search giant is one of several american tech companies facing inspections overseas for the way they do business.,0.0,Neutral
Apple,25/10/2016,"apple predicts a big holiday bounce after its biggest rival, samsung, falters","if the company's forecast is accurate, it will mark a turnaround from what has been a disappointing year for the silicon valley giant.",-0.4939,Negative
Apple,15/10/2016,"jim's and nick's week in tech: smoldering phones, the yahoo markdown and amazon music","sometimes people forget that old guys can be geeks. this week: how samsung helped apple, will verizon win a discount, and a new riff on a classic excuse.",0.4215,Positive
Apple,05/10/2016,twitter's fate: marc benioff of salesforce addresses acquisition talk,the tech world has been buzzing since it heard that the online software company salesforce was interested in bidding for twitter.,0.4019,Positive
Apple,30/09/2016,a health checkup for your laptop battery,"lithium-ion batteries don't last forever, but there are ways to find out your battery's current condition.",0.0,Neutral
Apple,27/09/2016,make the mac's share menu more useful,"apple's operating system provides an easy menu shortcut for sharing links, photos and other content, and you can customize your list of options.",0.6908,Very Positive
Apple,21/09/2016,allo's tryout: 5 days with google's annoying office intern,google's new chat app promises to stand out from a crowded field by bringing artificial intelligence into conversations. but it turns out to be frustrating and unhelpful.,-0.25,Neutral
Apple,13/09/2016,"e.u. rules look to unify digital market, but u.s. sees protectionism","the rules will put new pressure on american tech companies, but european officials say they will unite the continent's various national economies.",-0.1531,Neutral
Apple,09/09/2016,how to set up your own podcast recording studio,quality microphones and free recording software can get your personal audio show rolling for less money than you might think.,0.5106,Positive
Apple,06/09/2016,"daily report: iphone season is here, but these days, surprises are rare","for almost a year, apple rumormongers have been trotting out bits and pieces about what to expect from the latest device. and often, these rumors are picked up by mainstream media.",0.0,Neutral
Apple,30/08/2016,fact-checking apple's claims on e.u. tax ruling,the company's chief executive issued a defiant letter after ireland was ordered to collect about $14.5 billion in back taxes.,-0.2263,Neutral
Apple,26/08/2016,"cloud computing brings sprawling centers, but few jobs, to small towns","as big companies race to build oversize data networks, communities are finding that the giant buildings can operate with only about 30 people.",0.0,Neutral
Apple,17/08/2016,converting spreadsheets in apple's numbers to excel,"apple's spreadsheet program can edit microsoft excel files, but you need to take an extra step to use those files in excel again.",0.7184,Very Positive
Apple,07/08/2016,amazon has big plans for alexa: running the 'star trek' home,"the tech giant wants to weave its intelligent assistant into other smart gadgets, even those not made by amazon. but weakness in mobile could be an obstacle.",-0.6552,Very Negative
Apple,27/07/2016,"alexa, what else can you do? getting more from amazon echo","making amazon's voice-activated speaker smarter is not intuitive, but with a little tinkering, consumers can expand its skills.",0.6059,Very Positive
Apple,20/07/2016,what's the right age for a child to get a smartphone?,"as more children get phones at 10 and younger, parents face the question of when to allow unfettered access to the internet and all its benefits and perils.",0.5423,Positive
Apple,15/07/2016,"character, fate and yahoo",forget the years of lousy deals and seedy shenanigans: yahoo's real problem was a contradiction it couldn't resolve.,-0.8829,Very Negative
Apple,08/07/2016,keeping podcasts under control,the ios podcasts app includes management tools to help keep your downloaded audio and video episodes from filling up your iphone.,0.4019,Positive
Apple,28/06/2016,downloading video streams to go,some streaming services now allow temporary downloads of certain videos to watch when you do not have internet access.,0.4588,Positive
Apple,18/06/2016,farhad's and mike's week in tech: that business of microsoft buying linkedin,"farhad and mike try to itemize microsoft's $26.2 billion bill for linkedin. uber's chinese rivalry, apple updates and other tech news.",0.0,Neutral
Apple,13/06/2016,microsoft and apple making headlines,microsoft's planned acquisition of linkedin and apple's developer conference were the talk of tech on monday.,0.0,Neutral
Chevron,26/08/2016,"john ellenby, visionary who helped create early laptop, dies at 75","mr. ellenby founded grid systems, where the compass was produced. it went on to become a tool for big corporations, government spies, white house officials and astronauts.",0.0,Neutral
Chevron,18/10/2012,"stanford r. ovshinsky dies at 89, a self-taught maverick in electronics","a self-taught scientist, mr. ovshinsky invented the nickel-metal hybrid battery and contributed to the development of many other devices.",0.0,Neutral
Chevron,16/03/2007,green energy enthusiasts are also betting on fossil fuels,some technology investors that portray themselves as green-friendly are inconsistent with their marketing message.,0.0,Neutral
Chevron,06/09/2007,this just in from 2030: looming war restricts access to oil,chevron has us playing the oil game.,0.2023,Neutral
Cisco Systems,30/12/2016,join our board: companies hotly pursue new wave of women in tech,"even in silicon valley, where talent wars are legion, courting female executives to join tech company boards is particularly cutthroat.",0.1027,Neutral
Cisco Systems,27/08/2016,"g.e., the 124-year-old software start-up","the industrial giant is investing big in an effort to adopt the nimble habits and digital wizardry of silicon valley. and, its c.e.o. says, there is no plan b.",-0.128,Neutral
Cisco Systems,21/04/2016,apple services shut down in china in startling about-face,"the ibooks store and itunes movies were closed six months after they began in china, which had been more welcoming of apple than other tech companies.",0.4927,Positive
Cisco Systems,16/09/2015,china tries to extract pledge of compliance from u.s. tech firms,"some have received letters asking for a promise to make their products ""secure and controllable,"" a catchphrase that might mean backdoor access to private information.",0.5719,Very Positive
Cisco Systems,13/05/2015,cisco's profit and sales beat wall street forecasts,"profit for cisco systems, the networking equipment giant, rose 12 percent, to $2.4 billion, in its fiscal third quarter.",0.4404,Positive
Cisco Systems,28/01/2015,new rules in china upset western tech companies,"stringent regulations, including a requirement to share secret codes, are another form of economic protectionism, western technology companies say.",0.296,Neutral
Cisco Systems,29/09/2014,cisco: the internet needs more control,"cisco has a novel approach for selling its big internet vision, called intercloud: there is no better way to impose government policies on the internet.",0.4215,Positive
Cisco Systems,18/06/2014,facebook makes its own computer networking switch,"the social media giant announced that it had created a new kind of computer networking switch, potentially capable of shifting data rapidly through the largest data centers.",0.5574,Very Positive
Cisco Systems,18/04/2014,heartbleed highlights a contradiction in the web,the bug that rattled the internet last week exposed the paradox that some of the web's most crucial coding depends on the efforts of volunteers.,-0.1779,Neutral
Cisco Systems,12/02/2014,the number cisco left out,"cisco just reported a tough quarter, the latest sign of an incumbent struggling to adapt to a world of cloud computing, mobility, sensors, and lots of cheap competition.",-0.5106,Negative
Cisco Systems,09/12/2013,h.p. tying more big-business systems together,the silicon valley giant is embracing the notion that different types of business computing systems are merging into one tightly integrated computing engine.,0.0,Neutral
Cisco Systems,21/08/2013,shifting tech scene unsettles big players,"hewlett-packard, cisco and other companies that once dominated the industry are struggling as users turn to cloud computing services and mobile phones.",-0.4215,Negative
Cisco Systems,23/05/2013,"used computer, $116,000 or best offer","apple-1 computers have sold for hundreds of thousands of dollars in recent auctions, a run-up reflecting the company's mystique.",0.0,Neutral
Cisco Systems,10/04/2013,arming cable against the open internet,networking and content management providers are working with cable companies and other broadcasters to deal with competition from the internet by controlling the mobile video experience and offering extras.,0.0,Neutral
Cisco Systems,03/02/2013,"once blackberry focused, a campus widens its view","the university of waterloo, a world-class engineering school in canada, is a feeder campus for big-name global tech companies like blackberry, a neighbor and waterloo offshoot.",0.3612,Positive
Cisco Systems,29/09/2012,meg whitman's toughest campaign: retooling h.p.,the former ebay chief and gubernatorial candidate has found her act iii at hewlett-packard. but the challenge of re-energizing the company for a new information era is daunting.,0.1154,Neutral
Cisco Systems,23/05/2012,"as computing changes, hewlett-packard struggles to follow","finding it hard to keep up with radical shifts to new modes of computing, the technology company reported sharply lower net income and confirmed a plan to pare its work force.",-0.3818,Negative
Cisco Systems,10/04/2012,i.b.m. aims to sharply simplify corporate data center technology,"i.b.m. is introducing bundles of server hardware and software packaged in simplified systems, with setup and maintenance automated by intelligent software.",0.4588,Positive
Cisco Systems,04/03/2012,the bright side of being hacked,one benefit of an attack by a group like anonymous: it can gird a company against more serious online espionage.,0.204,Neutral
Cisco Systems,19/12/2011,the coming war for the social workplace,"cloud computing may be about more than just more efficient and supple software, or mobile systems that allow work from anywhere. to some of the leading companies in the field, it's about a whole new social style of management.",0.6115,Very Positive
Cisco Systems,20/10/2011,rim faces a naming problem,"rim's new name for its operating system, bbx, is similar to another company's software's name, bbx.",0.0,Neutral
Cisco Systems,23/08/2011,sell big or die fast,"these days, large technology companies -- particularly those in the hypercompetitive smartphone and tablet industries -- are cutting their losses with increasing speed.",-0.4939,Negative
Cisco Systems,03/06/2011,at&t races to expand the network,much of the $18 billion at&t will spend this year will be diverted into upgrades and expansions to meet the surging demands on the 3g network.,0.0,Neutral
Cisco Systems,17/04/2011,wreckage at the intersection of corporate and consumer markets,"before it bought (and then decided to close) the maker of flip cameras, cisco must have seen the cautionary tales of failures, but the allure was too strong.",0.5346,Positive
Cisco Systems,25/02/2011,"china telecom giant, thwarted in u.s. deals, seeks inquiry to clear name",the chinese telecommunications group said that its american expansion has been undermined by false allegations that it had ties to chinese authorities.,-0.3612,Negative
Cisco Systems,28/11/2010,"google grows, and works to retain nimble minds","the pace at a big company is far slower than at a start-up, a difference that matters to the entrepreneurial spirit.",0.2023,Neutral
Cisco Systems,04/10/2010,"cisco executive is named chief of skype, as new owners build a leadership team",tony bates will assume the top job at skype as its new owners continue to put their stamp on the fast-growing company after buying it from ebay.,0.2023,Neutral
Cisco Systems,22/07/2010,the softer side of dell,"when it comes to datacenter wares, a new dell has appeared with a growing arsenal of software products.",0.1779,Neutral
Cisco Systems,19/04/2010,stranded travelers turn to videoconferencing,audio and video conferencing businesses are reporting increases in demand since the volcanic disruptions.,-0.4404,Negative
Cisco Systems,10/02/2010,report warns silicon valley could lose its edge,"unemployment in the area is higher than national levels and the worst since 2005, when tech companies were recovering from the dot-com implosion.",-0.7906,Very Negative
Cisco Systems,13/01/2010,microsoft and hewlett-packard make a really big deal,microsoft and h.p. have broadened their already broad partnership to sell more technology together.,0.0,Neutral
Coca-Cola,19/06/2016,"airbnb vows to fight racism, but its users can't sue to prompt fairness","airbnb tells users they must agree to waive the right to sue, or to join in any class-action lawsuit or class-action arbitration, as a condition of using the service.",0.4215,Positive
Coca-Cola,05/10/2015,"delegating, jack dorsey will lead twitter and square",mr. dorsey has been aggressively making changes as interim chief since dick costolo stepped down on july 1.,-0.6808,Very Negative
Coca-Cola,30/08/2014,"in e-sports, video gamers draw real crowds and big money",professional video gaming is becoming a worldwide spectator sport offering big prizes to competitors and helping the game industry gain even greater cultural and economic clout.,0.8779,Very Positive
Coca-Cola,24/10/2013,samsung electronics fined for fake online comments,"a taiwanese trade agency has punished samsung electronics for paying people to post fake online comments that mocked its competitor, htc, the struggling handset maker. the south korean manufacturer will have to pay a fine of about $340,000.",-0.8689,Very Negative
Coca-Cola,30/11/2012,study may offer insight into coca-cola breach,a 2010 case study of a security breach at an unnamed fortune 500 company appears to offers new details of a breach at coca-cola.,0.34,Neutral
Coca-Cola,15/12/2010,twitter courts businesses to advertise,"twitter has opened its doors to businesses that want to advertise, as the company focuses on making money after building a huge user base.",0.3818,Positive
Coca-Cola,13/02/2008,yahoo acquires ad technology company,"yahoo said it has paid $160 million to acquire maven networks, an internet company that sells a system for managing advertisements in online videos.",0.0,Neutral
Coca-Cola,07/11/2007,facebook is marketing your brand preferences (with your permission),the social networking site now sells ads that display people's profile photos next to commercial messages that are shown to their friends about items they purchased or registered an opinion about.,0.4767,Positive
Coca-Cola,05/09/2006,"online game, made in u.s., seizes the globe","world of warcraft, with almost seven million paying subscribers, has become the first truly global video-game hit since pac-man in the early 80's.",0.4404,Positive
Coca-Cola,10/07/2006,"shopping by phone, on the move",the september issue of lucky magazine will let readers send text messages from their mobile phones to buy merchandise from 18 marketers and retailers.,0.4215,Positive
Dow Inc.,24/01/2016,looking for signs that apple's runaway growth is waning,"with iphone sales projected to decelerate, investors will be scouring apple's earnings report on tuesday for signs of how fast the company's downshift is happening.",0.0,Neutral
Dow Inc.,28/01/2014,jason calacanis shoots for human moments in news feeds,a rush of new entrants to new media involves people.,0.0,Neutral
Dow Inc.,09/06/2010,at&t is said to have exposed ipad owners' e-mail addresses,"a hacking group obtained the e-mail addresses of 114,000 owners of 3g ipads using a security hole on at&t's web site, gawker reported.",0.34,Neutral
Dow Inc.,06/06/2007,restitution deal made,a former sales chief at ca inc. has agreed to pay $29.7 million in restitution after pleading guilty last year to criminal charges.,-0.765,Very Negative
Goldman Sachs,11/11/2016,10-second videos from your sunglasses. thank snapchat.,"snap inc., formerly known as snapchat, is hoping its wearable technology can succeed where google glass failed.",0.4019,Positive
Goldman Sachs,20/05/2016,start-ups once showered with cash now have to work for it,"instead of venture capitalists begging to invest in start-ups, entrepreneurs are begging for cash, and potential investors are making demands.",0.0,Neutral
Goldman Sachs,05/10/2015,jack dorsey's dual c.e.o. role raises questions for square,"mr. dorsey becomes chief executive of twitter just as square, which he also heads, is making preparations for an initial public offering.",0.0,Neutral
Goldman Sachs,16/03/2015,uber's chief financial officer to leave company,"brent callinicos, the chief financial officer of uber, plans to leave the ride-sharing company, in what will be one of the highest-level departures yet for the six-year-old start-up.",-0.1189,Neutral
Goldman Sachs,30/10/2014,"twitter appoints product chief, replacing one named 6 months ago",twitter said it had picked kevin weil to speed its sluggish efforts to make its social network easier and more compelling for new and old users.,0.3167,Neutral
Goldman Sachs,12/04/2014,"a talk with simon head, author of 'mindless: smarter machines are making dumber humans'",mr. head offers his thoughts on the social landscape of the technology-dominated economy.,0.0,Neutral
Goldman Sachs,12/02/2013,apple chief hints at shareholder rewards to come,"investors have been pressing apple to distribute more of its vast cash hoard to its shareholders. timothy d. cook, apple's chief executive, said on tuesday that the company was discussing the problem, suggesting that some kind of payout is likely soon.",-0.4019,Negative
Goldman Sachs,02/08/2012,"sony's quarterly profit sinks, hit by weak demand","pummeled by the slow global economy, exchange rate shifts and the euro zone crisis, sony reported a 77 percent slide in operating profit, far below expectations for the quarter.",-0.296,Neutral
Goldman Sachs,13/02/2012,"apple shares close above $500, breaking more records","on monday, apple reached new heights with its shares closing at $502.60, up $9.18, or 1.86 percent. it was the first time apple's share price had passed $500.",0.5859,Very Positive
Goldman Sachs,27/10/2011,facebook-led consortium plans to remake big computing,"facebook plans to announce creation of a nonprofit foundation to run the open compute project, an effort to encourage collaboration among technology giants on building low-cost computing centers.",0.6597,Very Positive
Goldman Sachs,11/01/2011,hot social networking site cools as facebook grows,"no longer trying to compete with facebook, myspace recently revamped its site to give users more ways to consume music, videos and celebrity gossip.",-0.4404,Negative
Goldman Sachs,12/04/2010,reports that palm is to be sold lift its stock,two people close to the company say it is seeking a buyer after its slick new smartphone failed to make a splash.,-0.5106,Negative
Goldman Sachs,09/08/2009,an online market flourishes in china,"millions of people in china -- recent graduates, shopkeepers and retirees -- are using taobao to sell things like clothes, phones and toys.",0.3612,Positive
Goldman Sachs,29/12/2007,wireless tower operator sues chief of rival,the american tower corporation sued the head of a rival claiming he had impersonated its chief by sending a negative article about it via e-mail to two large investors.,-0.5719,Very Negative
Goldman Sachs,19/10/2007,google's strong quarter widens gap with rivals,"the search giant's surging third quarter profits showed that it was growing at twice the speed of the online advertising market, which itself is booming.",0.5574,Very Positive
Goldman Sachs,25/07/2007,oh those analysts,"how close were the analyst's predictions on apple iphone sales? oh, say double the reality.",0.0,Neutral
Goldman Sachs,24/05/2007,"microsoft asks, why buy yahoo?","microsoft said wednesday that it did not need to buy yahoo to gain scale in online advertising, because it had ""all the pieces"" to build a successful ad business.",0.802,Very Positive
Goldman Sachs,05/05/2007,rumors fly on microsoft and yahoo,microsoft and yahoo are discussing a business partnership in their effort to compete with google.,0.0,Neutral
Goldman Sachs,22/11/2006,google's shares climb above $500,"google's shares gained $14.60, or 3 percent, today to close at $509.65, passing the $500 mark for the first time.",0.5859,Very Positive
Goldman Sachs,11/08/2006,"betonsports, after indictment, folds its hand and shifts focus to asia","betonsports told 800 employees in costa rica and antigua, where the virtual casino has its operations, that they would be losing their jobs.",-0.3818,Negative
Goldman Sachs,26/05/2006,google reaches agreement to have its software installed on new dell computers,"the arrangement means that google's search toolbar will appear on the screens of new dell systems, and that dell users will be directed to a web page branded by the two companies.",0.0,Neutral
The Home Depot,10/08/2016,think amazon's drone delivery idea is a gimmick? think again,"amazon doesn't reveal much, but a little sleuthing suggests that drones may be central to the online retailer's long-term strategy.",0.09,Neutral
The Home Depot,27/03/2015,slack gets hacked as start-up technologies become targets,"communications start-up slack gets hacked, just days after twitch discloses a similar incident.",-0.4019,Negative
The Home Depot,06/11/2014,home depot says hackers also stole email addresses,"hackers took 53 million email addresses in addition to the payment card details of 56 million of its customers during this year's data breach, the retailer disclosed.",0.0,Neutral
The Home Depot,08/09/2014,twitter begins testing a 'buy' button for instant purchases by its users,"the feature will allow users to buy products with a couple of clicks, and it comes after facebook began testing a similar button in july.",0.2263,Neutral
The Home Depot,15/02/2014,a list of favorites from a man who knows his apps,"we all have that friend who knows which new song you should buy, or the new movie you should watch, but what about that friend who knows about apps? meet michael galpert, the app know-it-all.",0.7506,Very Positive
The Home Depot,05/06/2013,start-up to connect home appliances,"most makers of light switches, thermostats and other household appliances don't have the expertise to build the internet into their devices, nor can they afford adding a lot technology that significantly balloons the price of their products.",0.0,Neutral
The Home Depot,05/09/2012,smartphone? presto! 2-way radio,this new variation on electronic communication is quietly winning over millions of mobile device users.,0.5267,Positive
The Home Depot,18/01/2012,"before tearing out a wall, check your phone","with home improvement apps for mobile devices, a user can get cost estimates and how-to videos, as well as a 3-d picture of the final results before work even begins.",0.6249,Very Positive
The Home Depot,16/12/2009,times square goes a tweeting,social networking comes to the times square new year's eve celebrations. so do more energy-efficient led lights.,0.0,Neutral
The Home Depot,19/11/2008,black friday calls for a strategy session,"with retailers desperate to increase sales and shoppers looking for even steeper discounts, black friday 2008 is hoped by both parties to be, in the words of nigel tufnel of spinal tap, ""none more black.""",0.6486,Very Positive
The Home Depot,18/09/2007,they lasted longer than airline meals did,the death of the paper airline ticket is finally at hand.,-0.1779,Neutral
The Home Depot,06/06/2007,radio time to join list of ebay items up for auction,"the auction giant said it would begin selling radio airtime to advertisers, expanding into a business that google entered last year.",0.0,Neutral
The Home Depot,20/05/2006,"never mind the clip-on ties, geek squad can fix your pc",robert stephens has made a very good living solving the problems of technophobes and people who thought they were technically adept.,0.4865,Positive
Honeywell,03/11/2016,google home vs. amazon echo: a face-off of smart speakers,"which is a better helper, google home or amazon echo? a side-by-side test for six days revealed strengths and weaknesses.",0.7351,Very Positive
Honeywell,26/12/2015,"jet.com's strategy: low prices, fast delivery, happy workers","the start-up's founder and chief says happiness, in particular the happiness of his employees, will separate his company from ventures that have failed.",0.5994,Very Positive
Honeywell,10/04/2012,"one on one: asheem chandna, venture capitalist","asheem chandna, a partner at greylock partners, is a board member at imperva and palo alto networks and an investor in more than a dozen security-focused start-ups. he talks about how the nature of the cybersecurity threat is changing and what opportunities lie ahead.",-0.2023,Neutral
Honeywell,16/09/2007,"while in the kitchen, stir the stew and surf the web","dream kitchens may soon include a computer along with the latest refrigerator or oven, so people can satisfy their digital needs along with nutritional ones.",0.6444,Very Positive
IBM,29/12/2016,how china built 'iphone city' with billions in perks for apple's partner,"a hidden bounty of benefits for foxconn's plant in zhengzhou, the world's biggest iphone factory, is central to the production of apple's most profitable product.",0.6997,Very Positive
IBM,20/11/2016,microsoft spends big to build a computer out of science fiction,"the computer giant says it's ready to start planning a prototype quantum computer, a superpowerful device that relies on subatomic particles instead of transistors.",0.3612,Positive
IBM,18/09/2016,artificial intelligence software is booming. but why now?,"as g.e., oracle, salesforce.com and others push their a.i. products, it remains unclear whether potential customers understand how they will profit.",0.2263,Neutral
IBM,27/06/2016,tech makes its pitch to the education community,"apple and dell, longtime rivals in the battle over sales to educators and students, now have plenty of company from companies like amazon and others.",0.1531,Neutral
IBM,21/04/2016,apple services shut down in china in startling about-face,"the ibooks store and itunes movies were closed six months after they began in china, which had been more welcoming of apple than other tech companies.",0.4927,Positive
IBM,06/03/2016,taking baby steps toward software that reasons like humans,a number of start-ups are developing a new generation of pattern recognition software that is slowly and steadily advancing artificial intelligence.,0.5267,Positive
IBM,04/02/2016,concern grows in u.s. over china's drive to make chips,chips with military as well as electronics uses came under focus when washington officials killed a $2.9 billion chinese investment.,-0.5267,Negative
IBM,09/12/2015,"video feature: apps, like elves, help make the season bright","apps for creating animated video, thinking of gift ideas, organizing lists, tracking santa and donating to charities.",0.8074,Very Positive
IBM,06/11/2015,toyota invests $1 billion in artificial intelligence in u.s.,"the initiative, the toyota research institute, will create one of the biggest labs in silicon valley and will be led by the roboticist gill pratt.",0.2732,Neutral
